,ID,Name,District,Upazila,Eiin,Mobile,Management,Mpo,Post Office,Address,Is Approve,Is Active, 
 ,1,SHASHEALI HIGH SCHOOL,Chandpur,Faridgonj,103576,1734362929,PRIVATE,Yes,DAKSHIN BALITHUBA,SHASHEALI,,Yes,"View
     
     
         Edit"
 ,2,GRIDAKALINDIA  HIGH  SCHOOL,Chandpur,Faridgonj,103577,1309103577,PRIVATE,Yes,GRIDAKALINDIA,16 NO Rupsha,,Yes,"View
     
     
         Edit"
 ,3,ADARSHA ACADEMY FARIDGONJ,Chandpur,Faridgonj,103578,1712752990,PRIVATE,Yes,Faridgonj,"ACADEMY ROAD, FARIDGONJ, CHANDPUR.",,Yes,"View
     
     
         Edit"
 ,4,KARAITALI HIGH SCHOOL,Chandpur,Faridgonj,103579,1740897516,PRIVATE,Yes,KARAITALI,KARAITALI,,Yes,"View
     
     
         Edit"
 ,5,KALIR BAZAR  MIZANUR RAHMAN  HIGH SCHOOL,Chandpur,Faridgonj,103580,1712626434,PRIVATE,Yes,KALIR BAZAR,Gajaria,,Yes,"View
     
     
         Edit"
 ,6,GRIDAKALINDIA GIRLS HIGH SCHOOL,Chandpur,Faridgonj,103581,1818538156,PRIVATE,Yes,GRIDAKALINDIA,CHORMANDARI,,Yes,"View
     
     
         Edit"
 ,7,FARIDGONJ PILOT GIRL'S HIGH SCHOOL,Chandpur,Faridgonj,103582,1309103582,PRIVATE,Yes,Faridgonj,KACHARA,,Yes,"View
     
     
         Edit"
 ,8,BORGOAN HIGH SCHOOL,Chandpur,Faridgonj,103583,1913976533,PRIVATE,Yes,SUBIDPUR,SUBIDPUR,,Yes,"View
     
     
         Edit"
 ,9,PAIKPARA  U.G  HIGH  SCHOOL,Chandpur,Faridgonj,103584,1716711525,PRIVATE,Yes,PAIKPARA,07 NO PAIKPARA,,Yes,"View
     
     
         Edit"
 ,10,Rupsha AHMEDIA HIGH SCHOOL,Chandpur,Faridgonj,103585,1816279513,PRIVATE,Yes,Rupsha,Rupsha,,Yes,"View
     
     
         Edit"
 ,11,KAONIA SHAHID  HABIB ULLAH HIGH SCHOOL,Chandpur,Faridgonj,103587,1712690666,PRIVATE,Yes,KAONIA,KAONIA,,Yes,"View
     
     
         Edit"
 ,12,ASTA MOHAMAHA PATSHALA HIGH SCHOOL,Chandpur,Faridgonj,103588,1713627380,PRIVATE,Yes,PAIKPARA,ASTA,,Yes,"View
     
     
         Edit"
 ,13,FARIDGONJ A.R. GOVT. PILOT HIGH SCHOOL,Chandpur,Faridgonj,103589,1712672662,PUBLIC,Yes,Faridgonj,à¦•à¦¾à¦›à¦¿à§Ÿà¦¾à§œà¦¾,,Yes,"View
     
     
         Edit"
 ,14,RAMPUR BAZAR MAJIDIA HIGH SCHOOL,Chandpur,Faridgonj,103590,1820159878,PRIVATE,Yes,RAMPUR BAZAR,WEST LARUA,,Yes,"View
     
     
         Edit"
 ,15,PAIK PARA IU GIRLS SCHOOL,Chandpur,Faridgonj,103591,1718023119,PRIVATE,Yes,PAIKPARA,PAIKPARA,,Yes,"View
     
     
         Edit"
 ,16,SHAHEBGONJ SECONDARY SCHOOL,Chandpur,Faridgonj,103592,1309103592,PRIVATE,Yes,SHAHEBGONJ,SHAHEBGONJ,,Yes,"View
     
     
         Edit"
 ,17,MUNSHIRHAT  G&A  ALI  HIGH  SCHOOL,Chandpur,Faridgonj,103593,1309103593,PRIVATE,Yes,TORAMUNSHIRHAT,04 NO  SUBIDPUR,,Yes,"View
     
     
         Edit"
 ,18,MONTOLA  HAMEDIA HIGH  SCHOOL,Chandpur,Faridgonj,103594,1713639694,PRIVATE,Yes,MONTALA,03 NO SUBIDPUR,,Yes,"View
     
     
         Edit"
 ,19,KHAJURIA  M L HIGH SCHOOL,Chandpur,Faridgonj,103596,1818992793,PRIVATE,Yes,SINGHERGAON,KHAJURIA,,Yes,"View
     
     
         Edit"
 ,20,BASHARA  HIGH SCHOOL,Chandpur,Faridgonj,103597,130910357,PRIVATE,Yes,BASARA HIGH SCHOOL,BASARA,,Yes,"View
     
     
         Edit"
 ,21,GAZIPUR MUSLIM HIGH SCHOOL,Chandpur,Faridgonj,103598,1309103598,PRIVATE,Yes,CHANDRA,GAZIPUR,,Yes,"View
     
     
         Edit"
 ,22,BALITHUBA ABDUL HAMID HIGH SCHOOL,Chandpur,Faridgonj,103599,1815705873,PRIVATE,Yes,BALITHUBA,BALITHUBA,,Yes,"View
     
     
         Edit"
 ,23,PROTYASHI R A HIGH SCHOOL,Chandpur,Faridgonj,103600,1924739038,PRIVATE,Yes,DHANUA,HARINA,,Yes,"View
     
     
         Edit"
 ,24,MULPARA HIGH SCHOOL,Chandpur,Faridgonj,103601,1818774252,PRIVATE,Yes,MULPARA,MULPARA,,Yes,"View
     
     
         Edit"
 ,25,KAONIA  Y.M  HIGH  SCHOOL,Chandpur,Faridgonj,103602,1716861680,PRIVATE,Yes,KAONIA,16 NO Rupsha,,Yes,"View
     
     
         Edit"
 ,26,BIRAMPUR  SJM  HIGH  SCHOOL,Chandpur,Faridgonj,103603,1714433954,PRIVATE,Yes,BIRAMPUR BAZAR,12 NO  CHAR  DUKHIA,,Yes,"View
     
     
         Edit"
 ,27,SONTOSHPUR HIGH SCHOOL,Chandpur,Faridgonj,103604,1309103604,PRIVATE,Yes,SANTOSHPUR,182 SONTOSHPUR,,Yes,"View
     
     
         Edit"
 ,28,GOBINDAPUR HIGH SCHOOL,Chandpur,Faridgonj,103605,1309103605,PRIVATE,Yes,GOWAL VOUR BAZAR,GOBINDAPUR,,Yes,"View
     
     
         Edit"
 ,29,ALONIA HIGH SCHOOL,Chandpur,Faridgonj,103606,1726791200,PRIVATE,Yes,NURNAGAR,ALONIA,,Yes,"View
     
     
         Edit"
 ,30,DHANUA JANATA HIGH SCHOOL,Chandpur,Faridgonj,103607,1816105710,PRIVATE,Yes,DHANUA,DHANUA,,Yes,"View
     
     
         Edit"
