"District","Upazila","Eiin","Name","Address","Post Office","Mobile","Management","Mpo"
"Meherpur","Mujib Nagar","118264","JOYPUR TARANAGAR HIGH SCHOOL","34, JOYPUR","ANANDABAS","1718768264","PRIVATE","Yes"
"Meherpur","Mujib Nagar","118265","MUJIB NAGAR GOVT. SECONDARY SCHOOL","KADARGANJ","KADARGANJ","1717386538","PUBLIC","Yes"
"Meherpur","Mujib Nagar","118266","BAGOWAN HIGH SCHOOL","BAGOWAN","SREE ROTON PUR","1719916468","PRIVATE","Yes"
"Meherpur","Mujib Nagar","118267","DARIAPUR SECONDARY SCHOOL","DARIAPUR","DARIAPUR","1309118267","PRIVATE","Yes"
"Meherpur","Mujib Nagar","118269","ANANDA BASH MIA MUNSUR ACADEMY","ANANDA BASH","ANANDABAS","1309118269","PRIVATE","Yes"
"Meherpur","Mujib Nagar","118270","DARIA PUR GIRLS HIGH SCHOOL","DARIAPUR","DARUAPUR","1721952133","PRIVATE","Yes"
"Meherpur","Mujib Nagar","118271","KAMORPUR HIGH SCHOOL","KOMORPUR","NATUDAHA","1712927525","PRIVATE","Yes"
"Meherpur","Mujib Nagar","118272","MOHAJONPUR HIGH SCHOOL","MOHAJONPUR","NATUDA","1721953970","PRIVATE","Yes"
"Meherpur","Mujib Nagar","118273","ADARSHAW HIGH SCHOOL SHIBPUR","SHIBPUR","KEDARGANJ","1714738988","PRIVATE","Yes"
"Meherpur","Mujib Nagar","118274","MONAKHALI HIGH SCHOOL","MONAKHALI","DARIAPUR","1712524542","PRIVATE","Yes"
"Meherpur","Mujib Nagar","118275","ANANDABAS GIRLS HIGH SCHOOL","ANANDABAS","ANANDABAS","1791175850","PRIVATE","No"
"Meherpur","Mujib Nagar","118276","GOPAL NAGAR SECONDARY GIRLS SCHOOL","GOPAL NAGAR","KEDAR GONJ","1727438933","PRIVATE","Yes"
"Meherpur","Mujib Nagar","118277","MUJIBNAGAR AMROKANAN HIGH SCHOOL","BHABAR PARA","MUJIBNAGAR","1731299008","PRIVATE","Yes"
"Meherpur","Mujib Nagar","118278","A.T.J ADARSHO JUNIOR GIRLS SCHOOL","ANANDABASH","ANANDA BASH","1915938428","PRIVATE","No"
"Meherpur","Mujib Nagar","130638","BOLLOVPUR MISSION JUNIOR HIGH SCHOOL","BOLLOVPUR","KEDERGONJ","1750334847","PRIVATE","Yes"
"Meherpur","Mujib Nagar","134321","ST.XAVIER JUNIOR HIGH SCHOOL","BOBARPARA","MUJIBNAGAR","1784499364","PRIVATE","No"
"Meherpur","Mujib Nagar","137094","BARNAMALA BIDYAPITH, BOLLOVEPUR","BOLLOVEPUR","KEDARGANJ","1715851189","PRIVATE","No"
"Meherpur","Mujib Nagar","137539","MUJIBNAGAR MODEL GOVT. PRIMARY SCHOOL","MUJIBNAGAR","MUJIBNAGAR","1712373971","GOVERNMENT PRIMARY","No"
