District,Upazila,Eiin,Name,Address,Post Office,Mobile,Management,Mpo
Noakhali,Hatia,107417,MAIJDEE  HIGH SCHOOL,CHENGAR CHAR,EAST CHANGAR BAZAR,1716057440,PRIVATE,Yes
Noakhali,Hatia,107418,HEDAYET HOSSAIN HIGH SCHOOL,CHAR AMANULLAH,RAMCHARAN BAZAR,1719900487,PRIVATE,Yes
Noakhali,Hatia,107419,OSKHALI K.S.S GOVT. HIGH SCHOOL,CHAR KAILASH,HATIA,1309107419,PUBLIC,No
Noakhali,Hatia,107420,HATIYA TOWN GOVT GIRLS HIGH SCHOOL,"D C ROAD, CHAR KAILASH",HATIYA,1736515325,PUBLIC,No
Noakhali,Hatia,107421,HATIYA UNION MODEL PILOT HIGH SCHOOL,GAMCHAKHALI,MOFIZIYA,1731323843,PRIVATE,Yes
Noakhali,Hatia,107422,CHAR ISWAR ROY AFAZIA HIGH SCHOOL,CHAR ISWAR,AFZIA BAZAR,1309107422,PRIVATE,Yes
Noakhali,Hatia,107423,SUKHCHAR MOFIZIA HIGH SHOOL,GAMCHAKHALI,MOFIZIA,1744590129,PRIVATE,Yes
Noakhali,Hatia,107425,BURIRCHAR SAHEED ALI AHMED MEMORIAL H\S,SAGRIA,BURIRCHAR,1714653572,PRIVATE,Yes
Noakhali,Hatia,107426,OSKHALI S T GIRLS HIGH SCHOOL,CHARKOILASH,HATYIA,1715678656,PRIVATE,Yes
Noakhali,Hatia,107427,CHAR LATIYA JUNIOR HIGH SCHOOL,CHAR LATIYA,HATYIA,1726854764,PRIVATE,Yes
Noakhali,Hatia,107428,CHAR ISWAR ROY DASHAR HAT HIGH SCHOOL,CHARISWAR,DASER HAT,1714438199,PRIVATE,Yes
Noakhali,Hatia,107429,BURIR CHAR SYEDIA HIGH SCHOOL,RAZIA SOROK,SYED MIAR BAZAR,1716044662,PRIVATE,Yes
Noakhali,Hatia,107430,AZMERI BEGUM HIGH  SCHOOL,REHANIA,SURJAMUKHI,1732698781,PRIVATE,Yes
Noakhali,Hatia,107431,A. M HIGH SCHOOL,CHAR KAILASH .,HATIYA,1718029379,PRIVATE,Yes
Noakhali,Hatia,107432,BOALIYA HIGH  SCHOOL,BOALIYA,DHANUMIAR HAT,1734096544,PRIVATE,Yes
Noakhali,Hatia,107433,"M.C,S HIGH SCHOOL",CHAR  CHANGA,CHAR CHANGA,1742723411,PRIVATE,Yes
Noakhali,Hatia,107434,CHAR KING HIGH SCHOOL,CHAR ISWAR RAY,DHANU MIAR HAT,1718004233,PRIVATE,Yes
Noakhali,Hatia,107435,JOREKHALI HIGH SCHOOL,JOREHALI,JOREKHALI,1724184872,PRIVATE,Yes
Noakhali,Hatia,107436,JAHAJMARA HIGH SCHOOL,JAHAJMARA,JAHAJMARA,1719905849,PRIVATE,Yes
Noakhali,Hatia,107437,SUKCHAR UNION BANG BANDHU HIGH SCHOOL,NORTH BEJUGALIA,SAHAB RANIR HAT,1745237022,PRIVATE,Yes
Noakhali,Hatia,107438,CHAR KING GIRLS HIGH SCHOOL,CHAR ISHWAR ROY,DASER HAT,1309107438,PRIVATE,Yes
Noakhali,Hatia,107439,NANDA KUMAR  GIRLS HIGH SCHOOL,PURBO LAKHIDIA,HATIYA,1721176410,PRIVATE,Yes
Noakhali,Hatia,107440,CHOUMUHANI HIGH SCHOOL,RAHANIA,SURJA MUKHE,1772756699,PRIVATE,Yes
Noakhali,Hatia,107441,BIRBIRI CENTRE BAZAR HIGH SCHOOL,BIRBIRI,JAZHAZMARA,1821754330,PRIVATE,Yes
Noakhali,Hatia,107443,SONADIA ADARSH  HIGH SCHOOL,MAYDHA SONADIA#531,SOANDIA,1309107443,PRIVATE,Yes
Noakhali,Hatia,107444,REHANIA JUNIOR HIGH SCHOOL,REHANIA,SURJAMUKHI,1826313752,PRIVATE,Yes
Noakhali,Hatia,131270,NIZUM DWIP JUNIOR HIGH SCHOOL,NIZUM DWIP,NIZUM DWIP,1725468227,PRIVATE,No
Noakhali,Hatia,131272,HATIYA JANAKALLAN SHIKKAH TRUST  HIGH SCHOOL,WEST RASULPUR,CHOWRONGI HATIYA BAZAR,1309131272,PRIVATE,Yes
Noakhali,Hatia,131363,A GONI GIRLS HIGH SCHOOL /SAGORIA,SAGORIA,BURIR CHAR,1727517144,PRIVATE,Yes
Noakhali,Hatia,136758,FARUQ MEMORIAL JUNIOR HIGH SCHOOL,"CHAR HARE ,AMTOLI BAZAR",NUTUN SUKHCHAR,1309136758,PRIVATE,No
Noakhali,Hatia,137059,ADARSHAGRAM JUNIOR SCHOOL,ADARSHAGRAM,CHOWRANGI (HATIYABAZAR),1716171861,PRIVATE,No
Noakhali,Hatia,137770,PURBO CHARCHANGA GOVT. PRIMARY SCHOOL,PURBO CHARCHANGA,CHARCHANGA,1827568368,GOVERNMENT PRIMARY,No
Noakhali,Hatia,138563,HATIYA JONOKALLAN SHIKKHA TRUST ADARSHA HIGH SCHOOL,MIYAZI,CHOWRANGI HATIA BAZAR,1713602157,PRIVATE,No
Noakhali,Hatia,139014,AYESHA ALI JUNIOR HIGH SCHOOL,NOLERCHAR THANAR HAT,HATIYA BAZAR (CHOWRINGI),1739892563,PRIVATE,No
Noakhali,Senbug,107466,DOMURUA Z. A. CHOWDHURY GIRL'S HIGH SCHOOL,DOMURUA,GAZIRHAT,1812421561,PRIVATE,Yes
Noakhali,Senbug,107467,GAZIRHAT  HIGH  SCHOOL,BABOPURSREEPUR,GAZIRHAT,1718254597,PRIVATE,Yes
Noakhali,Senbug,107468,CHATERPAIYA  HIGH SCHOOL,CHHATARPAIYA,CHHATARPAIYA,1715533915,PRIVATE,Yes
Noakhali,Senbug,107469,HAZI MOKSUDUR RAHMAN MUSLIM HIGH SCHOOL,KABILPUR,KABILPUR,1817121669,PRIVATE,Yes
Noakhali,Senbug,107470,TAMUHANI  ABDUR   RASHID BAUIYN  HIGH SCHOOL,MAHTABPUR,BASANTAPUR,1818181148,PRIVATE,Yes
Noakhali,Senbug,107471,TUNKU ABDUL RAHMAN MEMORIAL ACADEMY,NAZARPUR,NAZARPUR,1818907669,PRIVATE,Yes
Noakhali,Senbug,107472,CHANDPUR  MODEAL  HIGH SCHOOL,CHANDPUR,NAZARPUR,1716568439,PRIVATE,Yes
Noakhali,Senbug,107473,SHER-E - BANGLA HIGH SCHOOL,RAJARAMPUR,SEBARHAT,1819673369,PRIVATE,Yes
Noakhali,Senbug,107474,SENBAG GOVT . PILOT HIGH SCHOOL,ARZUNTOLA,SENBAGH,1816833705,PUBLIC,No
Noakhali,Senbug,107475,SENBAG GOVT GIRLS  HGIH SCHOOL,4 NO WOARD,SENBAG,1726821539,PUBLIC,No
Noakhali,Senbug,107476,MOHAMMADPUR RAMENDRA MODEL HIGH SCHOOL,MOHAMMADPUR,KALYANDI,1715533803,PRIVATE,Yes
Noakhali,Senbug,107477,BIJBAG N.K. HGIH SCHOOL,SENBAGH,BIJBAGH,1821984969,PRIVATE,Yes
Noakhali,Senbug,107478,KANKIRHAT BOHUMUKHI HIGH SCHOOL,BIRKOT,KANKIRHAT,1819169340,PRIVATE,Yes
Noakhali,Senbug,107479,SHILONIA UNION HIGH SCHOOL,CHILONIA,MANIKPUR,1718855253,PRIVATE,Yes
Noakhali,Senbug,107480,KUTUBER HAT T.A. HIGH SCHOOL,DEBISINGHA PUR,KUTUBER HAT,1309107480,PRIVATE,Yes
Noakhali,Senbug,107481,NABIPUR HIGH SCHOOL,NABIPUR,NABIPUR,1815664506,PRIVATE,Yes
Noakhali,Senbug,107482,KANKIR HAT GIRLS HIGH SCHOOL,BIRKOT,KANKIRHAT,1715060610,PRIVATE,Yes
Noakhali,Senbug,107483,LEMUA HIGH SCHOOL,LEMUA,THANARPAR LEMUA,1938278722,PRIVATE,Yes
Noakhali,Senbug,107484,JOY NAGAR HIGH SCHOOL,KAZIR KHIL,KAZIRKHIL,1817121568,PRIVATE,Yes
Noakhali,Senbug,107486,EARPUR   HIGH  SCHOOL,EARPUR,SAMIR MUNSHIRHAT,1827342448,PRIVATE,Yes
Noakhali,Senbug,107487,PORIKOT HIGH SCHOOL,PAIRKUT,PORIKOT,1715482658,PRIVATE,Yes
Noakhali,Senbug,107488,M.A. ALI HIGH SCHOOL,MOGUA,ZIRUA,1817065306,PRIVATE,Yes
Noakhali,Senbug,107489,M. M. CHOWDHURY MEMORIAL HIGH SCHOOL,ARJUNTOLA /26,SENBAGH,1819632798,PRIVATE,Yes
Noakhali,Senbug,107491,NABIPUR GIRLS HIGH SCHOOL,NABIPUR,NABIPUR,1840927718,PRIVATE,Yes
Noakhali,Senbug,107492,SREEPODDI MODEL HIGH SHCOOL,SREEPODDI,CHANDERHAT,1843037601,PRIVATE,Yes
Noakhali,Senbug,107493,NOLUA ADARSHA  HIGH SCHOOL,NOLUA,KANKIR HAT,1309107493,PRIVATE,Yes
Noakhali,Senbug,107494,UNIVERSAL ACADEMY,BINNAGUNI,SENBAGH,1711011932,PRIVATE,No
Noakhali,Senbug,107495,KHAJURIA ASIRA  KHATUN  HIGH SCHOOL,KHAJURIA,KHAZURIA MADRASHA,1309107495,PRIVATE,Yes
Noakhali,Senbug,137868,GOPALPUR GOVT. PRIMARY SCHOOL,GOPALPUR,BIZBAGH,1727405701,GOVERNMENT PRIMARY,No
Noakhali,Sonaimori,107221,CHONGOW GIRLS HIGH SCHOOL,CHONGOWN,BAJRA,1716353040,PRIVATE,Yes
Noakhali,Sonaimori,107362,KALIKAPUR HIGH SCHOOL,KALIKAPUR,KHELAFAT BAZAR,1819666932,PRIVATE,Yes
Noakhali,Sonaimori,107363,BIRSHRESTHA SHAHID RUHUL AMIN ACADEMY,RUHUL AMIN NAGOR,NANDIAPARA,1726023958,PRIVATE,Yes
Noakhali,Sonaimori,107364,RUBIRHAT BANGABANDHU HIGH SCHOOL,PANCHBARIA,PANCHBARIA,1716688190,PRIVATE,Yes
Noakhali,Sonaimori,107365,BHUIYAR BAZAR HANUFA KHATUN HIGH SCHOOL,SAHAR PAR,PURKARA,1715737966,PRIVATE,Yes
Noakhali,Sonaimori,107367,RAJIBPUR HIGH SCHOOL,RAJIBPUR,SONAIMURI,1710888927,PRIVATE,Yes
Noakhali,Sonaimori,107368,AMIRABAD HIGH SCHOOL,AMIRABAD,AMIRABAD,1627690834,PRIVATE,Yes
Noakhali,Sonaimori,107369,MORSHID ALAM HIGH SCHOOL,NATESHWAR,NATESHWAR,1819161349,PRIVATE,Yes
Noakhali,Sonaimori,107370,KHALILUR RAHMAN HIGH SCHOOL,BROJERGAON,AMISHAPARA,1881338901,PRIVATE,Yes
Noakhali,Sonaimori,107371,PITAMBER PUR HIGH SCHOOL,PITAMBERPUR,PITAMBERPUR,1309107371,PRIVATE,Yes
Noakhali,Sonaimori,107372,GANDHI MEMORIAL INSTITUTE,JOYAG,JAYAG,1714655071,PRIVATE,Yes
Noakhali,Sonaimori,107373,SONAIMURI MODEL GOVT. MODEL HIGH SCHOOL,SONAIMURI,SONAIMURI,1718598025,PUBLIC,Yes
Noakhali,Sonaimori,107374,BAZRA ML HIGH SCHOOL,PURBA CHANDPUR,BAZRA,1818743101,PRIVATE,Yes
Noakhali,Sonaimori,107375,KASHIPUR MULTILATERAL HIGH SCHOOL,KASHIPUR,MOHESHGANJ,1719551005,PRIVATE,Yes
