DISTRICT,UPAZILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Feni,Fulgazi,106651,KHAJURIA MOMTAJUDDIN HIGH SHCOOL,KHAJURIA,BAKSH MAHMUD,1817069314,PRIVATE,Yes
Feni,Fulgazi,106652,AZMERI BEGUM GIRLS HIGH SCHOOL,FATEH PUR,NUTAN MUNSHIRHAT,1715044538,PRIVATE,Yes
Feni,Fulgazi,106653,NATUN BAZAR HIGH SCHOOL,BASANTAPUR,NUTAN MUNSHIR HAT,1816032056,PRIVATE,Yes
Feni,Fulgazi,106654,KARAIYA KALIKAPUR HIGH SCHOOL,KALIKAPUR,KALIKAPUR,1819853472,PRIVATE,Yes
Feni,Fulgazi,106655,FULGAZI GOVT.  PILOT HIGH SCHOOL,BIJOYPUR,FULGAZI,1716861716,PUBLIC,Yes
Feni,Fulgazi,106656,FULGAZI PILOT GIRLS HIGH SCHOOL,UTTAR SREEPUR,FULGAZI,1817403343,PRIVATE,Yes
Feni,Fulgazi,106657,DHARMAPUR EDUCATIONAL ESTATE,SOUTH DHARMAPUR,AMJADHAT,1819989469,PRIVATE,Yes
Feni,Fulgazi,106658,PAITHRA HIGH SCHOOL,POITHARA,MUNSHIRHAT,1840752553,PRIVATE,Yes
Feni,Fulgazi,106659,HAZI AMIR HOSSAIN HIGH SCHOOL,GABTALA,FULGAZI,1819548100,PRIVATE,Yes
Feni,Fulgazi,106660,ZAFAR IMAM  HIGH SCHOOL,"H-315, UTTAR TARAKUCHA",AMJADHAT,1823578261,PRIVATE,Yes
Feni,Fulgazi,106661,ISLAMPUR HIGH SCHOOL,ISLAMPUR,D.T.M,1814908989,PRIVATE,Yes
Feni,Fulgazi,106662,NOAPUR HIGH SCHOOL,NOAPUR,KALIKAPUR,1812073936,PRIVATE,Yes
Feni,Fulgazi,106687,RAHATAENNESSA GIRLS HIGH SCHOOL,NURPUR,G.M. HAT,1724697876,PRIVATE,Yes
Feni,Fulgazi,137535,GOSHAIPUR GOVT. PRIMARY SCHOOL,Gà§©à§§à§¦OSHAIPUR,Fulgazi,1879367937,GOVERNMENT PRIMARY,No
Feni,Fulgazi,138142,BADARPUR GOVT. PRIMARY SCHOOL,BADARPUR,KALIKAPUR,1812669491,GOVERNMENT PRIMARY,No
Feni,Fulgazi,139012,DAKKHIN BARAIYA GOVERNMENT PRIMARY SCHOOL,DAKSHIN BARAIYA,NOTUN MUNSHIR HAT,1728269870,GOVERNMENT PRIMARY,No
Feni,Parshuram,106675,BAKSHA  MAHMUD  HIGH   SCHOOL,VILL: NORTH TALBARIA,BAKSHA MAHMUD,1711124904,PRIVATE,Yes
Feni,Parshuram,106676,SHALDHER MOHAMMED ALI  HIGH  SCHOOL,MALIPATAR,SHALDHAR BAZAR,1817257148,PRIVATE,Yes
Feni,Parshuram,106677,CHANDANA HIGH SCHOOL,UTTAR CHANDANA,SHALDHAR BAZAR,1819647450,PRIVATE,Yes
Feni,Parshuram,106678,CHARGRAM SAMITY ADARSHA HIGH SCHOOL,DURGAPUR,DURGAPUR,1309106678,PRIVATE,Yes
Feni,Parshuram,106679,CHANGAZI HIGH SCHOOL,SOUTH  GUTHUMA,GUTHUMA,1831614284,PRIVATE,Yes
Feni,Parshuram,106680,MIRZANAGAR TAUHID ACADEMY,KALIKRISNANAGAR,SUBAR BAZAR,1309106680,PRIVATE,Yes
Feni,Parshuram,106681,MODEL HIGH  SCHOOL,ANANTAPUR,PARASHURAM,1818020536,PRIVATE,Yes
Feni,Parshuram,106682,PARASHURAM KABI SAMSUN NAHAR MAHMUD PILOT GIRLS HIGH SCHOOL,KOLAPARA,PARSHURAM,1309106682,PRIVATE,Yes
Feni,Parshuram,106683,PARASHURAM PILOT MODEL GOVT. HIGH SCHOOL,NORTH KOLAPARA,PARSHURAM,1811618206,PUBLIC,Yes
Feni,Parshuram,106684,DHANIKUNDA HOSNE ARA HIGH SCHOOL,UTTAR DHANIKUNDA,NOAPUR,1819695688,PRIVATE,Yes
Feni,Parshuram,106685,GUTHUMA K B A AZIZ MODEL HIGH SCHOOL,NORTH GUTHUMA,GUTHUMA,1812383736,PRIVATE,Yes
Feni,Parshuram,106686,KALIKA PUR BASHARAT ULLAH HIGH SCHOOL,UTTAR KAOTALA,BATTALI BAZAR,1816018527,PRIVATE,Yes
Feni,Parshuram,106688,RAJOSHPUR  ALI ASZZAM  CHOWDHURY   HIGH SCHOOL,DAKSHINRAJASPUR,SHALDHAR BAZAR,1817679827,PRIVATE,Yes
Feni,Parshuram,106689,CHITHOLIA NASIR UDDIN HIGH SCHOOL,CHITHALIA,SALIA,1829227350,PRIVATE,Yes
Feni,Parshuram,106690,KETRANGA JUNIOR HIGH SCHOOL,SOUTH KETRANGA,BAKSH MAHMOOD,1309106690,PRIVATE,Yes
Feni,Parshuram,106691,NARANIA MUNSHIR KHIL POJIR UDDIN AHMED CHOWDHURY HIGH SCHOOL,NARANIA,GUTHUMA,1309106691,PRIVATE,Yes
Feni,Parshuram,130806,ANANTAPUR JOTSNA JUNIOR HIGH SCHOOL,ANANTAPUR,PARSHURAM,1933479704,PRIVATE,No
Feni,Parshuram,137534,PURBA SHAHAB NAGAR GOVT. PRIMARY SCHOOL,PURBA SHAHABNAGAR,PARSHURAM,1819622140,GOVERNMENT PRIMARY,No
Feni,Sonagazi,106704,CHAR SHAHAVIKARI HIGH SCHOOL,CHAR SAHAVIKARI.,KACHARI PUKUR,1716429412,PRIVATE,Yes
Feni,Sonagazi,106705,BHOR BAZAR ADVOCATE BELAYET HOSSAIN HIGH SCHOOL,NAZIRPUR,BHOR BAZAR,1845776550,PRIVATE,Yes
Feni,Sonagazi,106706,MANGAL KANDI BOHU MUKHI HIGH SCHOOL,MANGAL KANDI,BAKTER MUNSHI,1815582059,PRIVATE,Yes
Feni,Sonagazi,106707,SONAPUR HAZI M.S. HOQUE SCHOOL,SONAPUR,SONAPUR BAZAR,1309106707,PRIVATE,Yes
Feni,Sonagazi,106708,SONAGAZI MD. SABER GOVT. MODEL PILOT HIGH SCHOOL,7 NO. WARD,SONAGAZI,1816721343,PUBLIC,Yes
Feni,Sonagazi,106710,ALHELAL ACADEMY SONAGAZI,UTTAR CHAR CHANDIA,SONAGAZI,1728563480,PRIVATE,Yes
Feni,Sonagazi,106711,R.M.HAT.K HIGH SCHOOL,SUJAPUR,MOTIGONJ,1817503494,PRIVATE,Yes
Feni,Sonagazi,106712,BISHNUPUR HIGH SCHOOL,BISHNUPUR,KUTIR HAT,1793651653,PRIVATE,Yes
Feni,Sonagazi,106713,AHMEDPUR NUR  NABI HIGH SCHOOL,AHMEDPUR,AHMEDPUR,1813508393,PRIVATE,Yes
Feni,Sonagazi,106714,OSMANIA HIGH SCHOOL,PAIK PARA,TAKIA BAZAR,1818331854,PRIVATE,Yes
Feni,Sonagazi,106715,BAKTER MUNSHI MOAZZAM HOSSAIN HIGH SCHOOL,MIRZAPUR,BAKTER MUNSHI,1819520684,PRIVATE,Yes
Feni,Sonagazi,106716,SONAGAZI GIRLS PILOT HIGH SCHOOL,SONAGAZI COLLEGE ROAD,SONAGAZI,1816150737,PRIVATE,Yes
Feni,Sonagazi,106717,DASHER  HAT R.R. HIGH SCHOOL,CHAR SAHA VIKARE,SAMABAY BAZAR,1817673677,PRIVATE,Yes
