DISTRICT,UPAZILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Barguna,Amtali,100003,DAKSHIN KATHALIA TAZEM ALI SECONDARY SCHOOL,KATHALIA,SOUTH KATHALIA,1720343613,PRIVATE,Yes
Barguna,Amtali,100009,LOCHA JUUNIOR HIGH SCHOOL,LOCHA,AMTALI,1711471575,PRIVATE,Yes
Barguna,Amtali,100011,AMTALI A.K. PILOT GOVT. HIGH SCHOOL,"437, A K SCHOOL ROAD, AMTALI",AMTALI,1746091667,PUBLIC,Yes
Barguna,Amtali,100012,CHOTONILGONG HIGH SCHOOL,CHOTONILGONG,CHALABHANGA,1718925197,PRIVATE,Yes
Barguna,Amtali,100014,SHAKHRIA HIGH SCHOOL,SHAKHARIA,HAZIR HAT,1712040882,PRIVATE,Yes
Barguna,Amtali,100015,GULSHA KHALIISHAQUE HIGH SCHOOL,GULISHAKHALI,GULISHAKHALI,1716080742,PRIVATE,Yes
Barguna,Amtali,100016,CHARAKGACHIA SECONDARY SCHOOL,CHARAKGACHIA,PANCHAKORALIA,1734083408,PRIVATE,Yes
Barguna,Amtali,100017,EAST CHILA RAHMANIA HIGH SCHOOL,PURBA CHILA,PASCHIM CHILA,1716203073,PRIVATE,Yes
Barguna,Amtali,100018,TARIKATA SECONDARY SCHOOL,TARIKATA,TARIKATA,1714588243,PRIVATE,Yes
Barguna,Amtali,100019,CHILA HASHEM BISWAS HIGH SCHOOL,CHILA,PACHIM CHILA,1715952046,PRIVATE,Yes
Barguna,Amtali,100020,CHALAVANGA HIGH SCHOOL PRO,CHALAVANGA,CHALAVANGA,1726175459,PRIVATE,Yes
Barguna,Amtali,100021,CHUNAKHALI HIGH SCHOOL, CHUNAKHALI,HAT-CHUNAKHALI,1716030833,PRIVATE,Yes
Barguna,Amtali,100022,MAFIZ UDDIN GIRLS PILOT HIGH SCHOOL, UPZILA ROAD,AMTALI,1718101316,PRIVATE,Yes
Barguna,Amtali,100023,GOZ-KHALI(MLT) HIGH SCHOOL,GOZKHALI,BAIN BUNIA,1728043464,PRIVATE,Yes
Barguna,Amtali,100024,KAUNIA IBRAHIM ACADEMY,KAUNIA,AMTALI,1754939770,PRIVATE,Yes
Barguna,Amtali,100026,ARPAN GASHIA HIGH SCHOOL,ARPAN GASHIA,TARIKATA,1724183205,PRIVATE,Yes
Barguna,Amtali,100028,SHAHEED SOHRAWARDI SECONDARY SCHOOL,KUKUA,S.SOHRAWARDY HIGH SCHOOL,1719765468,PRIVATE,Yes
Barguna,Amtali,100029,KALIBARI JR GIRLS HIGH SCHOOL,KALIBARI,HAT CHUNAKHALI,1727849050,PRIVATE,Yes
Barguna,Amtali,100030,HALDIA GRUDAL BANGABUNDHU HIGH SCHOOL,HALDIA,HALDIA BAZAR,1715886917,PRIVATE,Yes
Barguna,Amtali,100031,KUKUA ADARSHA HIGH SCHOOL,KUKUA,KUKUA,1713647486,PRIVATE,Yes
Barguna,Amtali,100032,GAZIPUR BANDAIR HIGH SCHOOL,GAZIPUR BANDAIR,GAZIPUR BANDAR,1772789484,PRIVATE,Yes
Barguna,Amtali,100033,SOUTH RAOGHA NUR AL AMIN SECONDARY SCHOOL,SOUTH RAOGHA,PATAKATA,1309100033,PRIVATE,Yes
Barguna,Amtali,100034,KHEKUANI HIGH SCHOOL,KHEKUANI,KHEKUANI,1737227025,PRIVATE,Yes
Barguna,Amtali,100035,KEWABUNIA SECONDARY SCHOOL,KEWABUNIA,HAT CHUNAKHALI,1716475978,PRIVATE,Yes
Barguna,Amtali,100037,ATHARAGACHIA SECONDARY SCHOOL,ATHARAGACHIA,SONAKHALI,1713956096,PRIVATE,Yes
Barguna,Amtali,100038,KALAGACHIA YUNUS A K JUNIOR HIGH SCHOOL,KALAGACHIA,GULISAKHALI,1757959215,PRIVATE,Yes
Barguna,Amtali,100039,HALIMA KHATUN G R GIRLS HIGH SCHOOL,GULISHAMALI,GULISAKHALI,1721789762,PRIVATE,Yes
Barguna,Amtali,100041,PATAKTA NURUL HAQUE JUNIOR HIGH SCHOOL,PATAKATA,PATAKATA,1717110368,PRIVATE,Yes
Barguna,Amtali,100042,K H AKOTA JUNIOR HIGH SCHOOL,KALAGACHHIA,GULISHAKHALI,1735437438,PRIVATE,Yes
Barguna,Amtali,100044,GHATKHALI HIGH SCHOOL,GHATKHALI,GHATKHALI,1748265596,PRIVATE,Yes
Barguna,Amtali,100046,KHAGDON JUNIOR HIGH SCHOOL,KHAGDON,HAT CHUNAKHALI,1725966348,PRIVATE,Yes
Barguna,Amtali,100048,MODDHO CHANDRA JUNIOR HIGH SCHOOL,MODDHO CHANDRA,PATAKATA,1748247502,PRIVATE,Yes
Barguna,Amtali,100050,DAKSHIN TAKTABUIA SECONDARY SCHOOL,SAKSHIN TAKTABUNIA,HALDIA,1309100050,PRIVATE,Yes
Barguna,Amtali,100051,UTTAR TIAKHALI JUNIOR GIRLS HIGH SCHOOL,UTTAR TIAKHALI,CHOLA BHANGA,1772863684,PRIVATE,Yes
Barguna,Amtali,100054,KUKUA IDEAL JUNIOR GIRLS SCHOOL,KRISHNANAGAR,KUKUA,1713963273,PRIVATE,No
Barguna,Amtali,100060,CHAWRA CHANDRA JUNIOR HIGH SCHOOL,CHANDRA,PATAKATA,1727464884,PRIVATE,No
Barguna,Amtali,100063,APATUNNESA JUNIOR ACADEMY,SONAKHALI,CHALITABUNIA,1775531076,PRIVATE,No
Barguna,Amtali,131151,AMTALI MU. SECONDARY SCHOOL,AMTALI,AMTALI,1716028658,PRIVATE,Yes
Barguna,Amtali,134886,SOUTH BENGAL IDEAL SCHOOL AND COLLEGE, AMTALI,AAmtaliMTALI,1711471575,PRIVATE,No
Barguna,Amtali,138056,PURBO CHAWRA GOVT. PRIMARY SCHOOL,PATAKATA,PATAKATA,1714828397,GOVERNMENT PRIMARY,No
Barguna,Amtali,138694,PURBO CHANDRA GOVT PRIMARY SCHOOL,CHANDRA,PATAKATA,1739307207,GOVERNMENT PRIMARY,No
Barguna,Bamna,100117,BUKABUNIA ADASHA SECONDARY SCHOOL,BUKABUNIA,BUKABUNIA,1724385415,PRIVATE,Yes
Barguna,Bamna,100119,BAMNA ASMATUNNESSA PILOT SECONDARY GIRLS SCHOOL,SHAFIPUR HOLDING NO- 10,BAMNA,1714765637,PRIVATE,Yes
Barguna,Bamna,100120,HOGALPATI DOUATALA UNION SECONDARY SCHOOL,HOGALPATI,HOGALPATI,1309100120,PRIVATE,Yes
Barguna,Bamna,100121,LATABUNIA SECONDARY SCHOOL,LATABUNIA,BARA TALASHAR,1718833004,PRIVATE,Yes
Barguna,Bamna,100122,JAFRAKHALI HIGH SCHOOL,JAFRAKHALI,BALYBUNIA,1309100122,PRIVATE,Yes
Barguna,Bamna,100123,RAMNA SHER-E BANGLA SAMABAYA SECONDARY SCHOOL,RAMNA,GHOLA GHATA,1309100123,PRIVATE,Yes
Barguna,Bamna,100124,HALDA DOUATALA SAMABAY MULTILATERAL SECONDARY SCHOOL,DOUATALA,SOUTH DOUATALA,1309100124,PRIVATE,Yes
Barguna,Bamna,100125,UTTAR KAKCHIRA SECONDARY SCHOOL,UTTAR  KAKCHIRA,GUDIGHATA KAKCHIRA,1710180089,PRIVATE,Yes
Barguna,Bamna,100126,J C L JUNIOR HIGH SCHOOL,CHALITABUNIA,NOBABER HAT,1725851810,PRIVATE,Yes
Barguna,Bamna,100127,KHOLPATUA ADARSHA JUNIOR SECONDARY SCHOOL,KHOLPATUA,KHOLPATUA,1719733075,PRIVATE,Yes
Barguna,Barguna Sadar,100144,MOHOSIN UDDIN MEMORIAL SECONDARY SCHOOL,BURIR KHAL,GAURICHANNA,1309100144,PRIVATE,No
Barguna,Barguna Sadar,100145,RAKHAINPARA B.P.S SECONDRY SCHOOL,BORO BALIATALI,PARIRKHAL,1309100145,PRIVATE,No
Barguna,Barguna Sadar,100146,FULJHURE M. L SECONDARY SCHOOL,FULJHURE,FULJHURI,1720987180,PRIVATE,Yes
Barguna,Barguna Sadar,100147,LEMUA IDEAL HIGH SCHOOL,LEMUA,KOTBARIA,1309100147,PRIVATE,Yes
Barguna,Barguna Sadar,100148,UTTER  KUMAR KHALI  J.R.  GIRLS  SCHOOL,KUMAR KHALI,BAIWALKAR,1715151528,PRIVATE,Yes
Barguna,Barguna Sadar,100149,DEMA GULISHA KHALI HAKMIA HIGH SCHOOL,DEMA GULISHA KHALI,SOUTH TETUL BARIA,1309100149,PRIVATE,Yes
Barguna,Barguna Sadar,100150,GOURICHANNA NAWAB SALIMULLAH HIGH SCHOOL,GOURICHANNA,GOURICHANNA,1309100150,PRIVATE,Yes
Barguna,Barguna Sadar,100151,NIMTOLI AZIZABAD C M SECONDARY GIRL'S SCHOOL,AZIZABAD,KHAKBUNIA,1309100151,PRIVATE,Yes
Barguna,Barguna Sadar,100152,CHALITATALI KB HIGH SCHOOL,à¦šà¦¾à¦²à¦¿à¦¤à¦¾à¦¤à¦²à¦¾,BAWALKAR,1911042031,PRIVATE,Yes
Barguna,Barguna Sadar,100153,BABUGANJ ADARSHA SECONDARY SCHOOL,PADMA,SHIALIA,1309100153,PRIVATE,Yes
