DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Barguna,Amtali,100003,DAKSHIN KATHALIA TAZEM ALI SECONDARY SCHOOL,KATHALIA,SOUTH KATHALIA,1720343613,PRIVATE,Yes
Barguna,Amtali,100009,LOCHA JUUNIOR HIGH SCHOOL,LOCHA,AMTALI,1711471575,PRIVATE,Yes
Bargunads,Amtali,100011,AMTALI A.K. PILOT GOVT. HIGH SCHOOL,"437, A K SCHOOL ROAD, AMTALI",AMTALI,1746091667,PUBLIC,Yes
Barguna,Amtalid,100012,CHOTONILGONG HIGH SCHOOL,CHOTONILGONG,CHALABHANGA,1718925197,PRIVATE,Yes
Barguna,Amtali,100014,SHAKHRIA HIGH SCHOOL,SHAKHARIA,HAZIR HAT,1712040882,PRIVATE,Yes
Barguna,Amtali,100015,GULSHA KHALIISHAQUE HIGH SCHOOL,GULISHAKHALI,GULISHAKHALI,1716080742,PRIVATE,Yes
Barguna,Amtali,100016,CHARAKGACHIA SECONDARY SCHOOL,CHARAKGACHIA,PANCHAKORALIA,1734083408,PRIVATE,Yes
Barguna,Amtali,100017,EAST CHILA RAHMANIA HIGH SCHOOL,PURBA CHILA,PASCHIM CHILA,1716203073,PRIVATE,Yes
Barguna,Amtali,100018,TARIKATA SECONDARY SCHOOL,TARIKATA,TARIKATA,1714588243,PRIVATE,Yes
Barguna,Amtali,100019,CHILA HASHEM BISWAS HIGH SCHOOL,CHILA,PACHIM CHILA,1715952046,PRIVATE,Yes
Barguna,Amtali,100020,CHALAVANGA HIGH SCHOOL PRO,CHALAVANGA,CHALAVANGA,1726175459,PRIVATE,Yes
Barguna,Amtali,100021,CHUNAKHALI HIGH SCHOOL, CHUNAKHALI,HAT-CHUNAKHALI,1716030833,PRIVATE,Yes
Barguna,Amtali,100022,MAFIZ UDDIN GIRLS PILOT HIGH SCHOOL, UPZILA ROAD,AMTALI,1718101316,PRIVATE,Yes
Barguna,Amtali,100023,GOZ-KHALI(MLT) HIGH SCHOOL,GOZKHALI,BAIN BUNIA,1728043464,PRIVATE,Yes
Barguna,Amtali,100024,KAUNIA IBRAHIM ACADEMY,KAUNIA,AMTALI,1754939770,PRIVATE,Yes
