DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Brahmanbaria,Akhaura,103149,GHULKHAR RANIKHAR HIGH SCHOOL,GHULKHAR,GHULKHAR,1720942831,PRIVATE,Yes
Brahmanbaria,Akhaura,103150,NURPUR RUTI ABDUL HOQUE BHUYAN HIGH SCHOOL,NURPUR,RUTI,1718922000,PRIVATE,Yes
Brahmanbaria,Akhaura,103151,"BANGLADESH RAILWAY GOVT. HIGH SCHOOL,AKHAURA",AKHAURA,AKHAURA,1761898312,PRIVATE,No
Brahmanbaria,Akhaura,103152,AKHAURA NASRIN NABI PILOT  GIRLS HIGH SCHOOL,AKHAURA,AKHAURA,1711443969,PRIVATE,Yes
Brahmanbaria,Akhaura,103153,SHAH PIRKALLA SHAHID HIGH SCHOOL,KHARAMPUR,AKHAURA,1759799994,PRIVATE,Yes
Brahmanbaria,Akhaura,103154,DEVAGRAM GOVT. PILOT HIGH SCHOOOL,DEVAGRAM,AKHAURA,1309103154,PUBLIC,Yes
Brahmanbaria,Akhaura,103155,MOGRA HIGH SCHOOL,MOGRA,GONGA SAGAR,1309103155,PRIVATE,Yes
Brahmanbaria,Akhaura,103156,TULAI SHIMUL HIGH SCHOOL,TULAI SHIMUL,COLONEL BAZAR,1818097113,PRIVATE,Yes
Brahmanbaria,Akhaura,103157,HIRAPUR SHAHID NOWAB MEMORIAL HIGH SCHOOL,HIRAPUR,HIRA PUR,1716482387,PRIVATE,Yes
Brahmanbaria,Akhaura,103158,RANIKHAR S.A.HANNAN SECONDARY & TECH.HIGH SCHOOL,RANIKHAR,GOLKHAR,1714708938,PRIVATE,Yes
Brahmanbaria,Akhaura,103159,KARMAMATH HIGH SCHOOL,DHARMANAGAR,KARMAMATH,1721930621,PRIVATE,Yes
Brahmanbaria,Akhaura,103161,CHHOYGHARIA AL HAJ SHAH ALAM HIGH SCHOOL,CHAYGHARIA,CORNEL BAZAR,1743757872,PRIVATE,Yes
Brahmanbaria,Akhaura,103162,AMODA BAD AL-HAJ SHAH ALAM HIGH SCHOOL,AMODA BAD,AZAM PUR,1715529691,PRIVATE,Yes
Brahmanbaria,Akhaura,130658,MANIAND HIGH SCHOOL,MANIAND,MANIAND,1731052404,PRIVATE,Yes
Brahmanbaria,Akhaura,134495,BHATAMATHA ADORSHAYA  HIGH SCHOOL,BHATAMATHA,CHHARTURA SHARIF,1309134495,PRIVATE,No
Brahmanbaria,Akhaura,137370,UMEDPUR GOVERNMENT PRIMARY SCHOOL,UMEDPUR,AKHAURA,1962362065,GOVERNMENT PRIMARY,No
Brahmanbaria,Akhaura,137854,NOWAPARA ZIKUTIA GOVT. PRIMARY SCHOOL,ZIKUTIA,RUTI,1733920116,GOVERNMENT PRIMARY,No
Brahmanbaria,Bancharampur,103171,DARIKANDI BADDA ASMATUNESA HIGH SCHOOL,DARIKANDDI,JIBAN GONJ BAZAR,1731685529,PRIVATE,Yes
Brahmanbaria,Bancharampur,103172,KHALLA HIGH SCHOOL,KHALLA,SAYFULLA KANDI,1724377501,PRIVATE,Yes
Brahmanbaria,Bancharampur,103173,BANCHARAMPUR S M PILOT MODEL GOVT. HIGH SCHOOL,BANCHARAMPUR,BANCHARAMPUR,1916279288,PUBLIC,Yes
Brahmanbaria,Bancharampur,103174,BANCHARAMPUR GIRLS HIGH SCHOOL,V T JHAGRAR CHAR,BANCHARAMPUR,1716943080,PRIVATE,Yes
Brahmanbaria,Bancharampur,103175,UJAN CHAR K N HIGH SCHOOL,UJAN CHAR,UJAN CHAR,1728269236,PRIVATE,Yes
Brahmanbaria,Bancharampur,103176,RUPASDI B B HIGH SCHOOL,RUPASDI,RUPASDI,1716158376,PRIVATE,Yes
Brahmanbaria,Bancharampur,103177,MARICHAKANDI D T ACADEMY,MARICHAKANDI,MORICHAKANDI,1309103077,PRIVATE,Yes
Brahmanbaria,Bancharampur,103178,DARIA DAULAT A. GANI HIGH SCHOOL,DARIA DAULAT,DARIA DAULAT,1738287346,PRIVATE,No
Brahmanbaria,Bancharampur,103179,DHARIAR CHAR HAZI OMAR ALI HIGH SCHOOL,DHARIAR CHAR,DHARIAR CHAR,1712129603,PRIVATE,Yes
Brahmanbaria,Bancharampur,103180,TEZKHALI UNION HIGH SCHOOL,BHAERCHAR,BISNORAMPUR,1913642425,PRIVATE,Yes
Brahmanbaria,Bancharampur,103181,H K ASMATUNNESSA HIGH SCHOOL,KALAKANDI,PAHARIA KANDI,1818754373,PRIVATE,Yes
Brahmanbaria,Bancharampur,103182,SHAH RAHAT ALI HIGH SCHOOL,SAIFULLAKANDI,SAIFULLAKANDI,1817091579,PRIVATE,Yes
Brahmanbaria,Bancharampur,103183,FORDABAD ADARSHA HIGH SCHOOL,FORDABAD,FORDABAD,1784157278,PRIVATE,Yes
Brahmanbaria,Bancharampur,103184,RUPASDI JAMIDA MUNSOOR ALI  HIGH SCHOOL,RUPASDI_1,RUPASDI,1725609790,PRIVATE,Yes
Brahmanbaria,Bancharampur,103185,BAHER CHAR ARDARSHA HIGH SCHOOL,BAHER CHAR,BAHER CHAR,1710289958,PRIVATE,Yes
Brahmanbaria,Bancharampur,103187,BHURBHURIA ADARSHA HIGH SCHOOL,BHURBHURIA,BHURBHURIA,1716602075,PRIVATE,Yes
