DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Jhalakathi,Jhalakathi Sadar,101622,KIRTIPASA PROSANNA KUMAR SECONDARY SCHOOL,KIRTIPASA,KIRTIPASA,1714522871,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101623,CHAMTA B.K. UNION SECONDARY SCHOOL,DARKHI,DARKHI,1309101623,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101624,PARMAHAL MOKIM KHAN HIGH SCHOOL,PARMAHAL,PARMAHAL,1714779222,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101625,K.A. KHAN SECONDARY SCHOOL,CHANDPURA,TEKERHAT,1937322651,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101626,SATADASH KATI SATI LAXMI GIRLS SECONDARY SCHOOL,SATADASH KATI,SATADASHKATI,1309101626,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101627,SHEHHERHAT ROKEYA KHATUN GIRLS HIGH SCHOOL,RAJ PASHA,SHEKHERHAT,1718608258,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101628,BHARUKATI SECONDARY SCHOOL,BHARUKATI,"BHARUKATI, NARAYANPUR",1716251099,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101629,BALIGHONA S. M. HIGH SCHOOL,BALIGHONA,RAMCHANDRAPUR,1716064391,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101630,PIPALITA SECONDARY SCHOOL,PIPALITA,BASANDA,1309101630,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101631,GOVT. HARACHANDRA GIRLS HIGH SCHOOL,62 NO. SHOTTA SORON ROAD,JHALAKATI,1715473452,PUBLIC,No
Jhalakathi,Jhalakathi Sadar,101633,JHALAKATI GOVT. HIGH SCHOOL,EAST CHANDKATI ROAD,JHALAKATI,1715544762,PUBLIC,No
Jhalakathi,Jhalakathi Sadar,101634,JAHLAKATI POURASAVA ADARSHA HIGH SCHOOL,THANNA ROAD,JHALOKATI,1309101634,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101635,SUGANDHA POURA ADARSHA SECONDARY GIRLS SCHOOL,188 HOSPITAL ROAD,JHALAKATI,1714809077,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101636,UDBODHAN SECONDARY SCHOOL,"90, KATPOTTI ROAD, JHALAKATI",JHALOKATI,1712155812,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101638,BOWKATHI BINDU BASHINI HIGH SCHOOL,BOWKATHI,BAUKATI,1743101307,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101639,NATHULLABAD HIGH SCHOOL,BARAIARA,NATHULLABAD,1309101639,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101640,CHRUKHAN D. S. B. L. HIGH SCHOOL,CHARUKHAN,DEULKATI,1309101640,PRIVATE,No
Jhalakathi,Jhalakathi Sadar,101641,KANCHABADIA  B.K. HIGH SCHOOL,KANCHABALIA,KANCHABALIA,1718289091,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101642,SUGANDHIA MUSLIM SECONDARY SCHOOL,SUGANDHIA,SUGANDHIA,1716057833,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101644,SREEMANTA KATI B S HIGH SCHOOL,SREEMANTKATI,SREEMANTAKATI,1715713063,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101645,SEOTA PGS JUNIOR HIGH SCHOOL,SEOTA,KEUNDIA,1731512391,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101646,KUTUKATI SECONDERY SCHOOL,KUTUBKATI,GABKHAN,1717258304,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101647,J B I UNION HIGH SCHOOL,"ICHANIL, 54 BISWO ROAD",JHALAKATI,1712135440,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101648,BHIMRULY D.N. SECONDARY SCHOOL,BHIMRULY,BHIMRULY,1718992224,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101649,DUMARIA AMRITA BALA SECONDARY SCHOOL,DUMARIA,BESHAIN KHAN,1715713084,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101650,TARULI SECONDARY SCHOOL,TARULI,TARULI,1739657989,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101652,KAFURKATHI K M SECONDARY SCHOOL,KAFURKATHI,SATADASHKATI,1714556876,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101653,G.S.U HIGH SCHOOL,GAGAN,GAGAN,1715291747,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101654,HEMAYET UDDIN INSTITUTE OF SCIENCE,CUSTOM OF I ,GUATAN,1710181272,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101655,MANPASHA SHER-E BANGLA SECONDARY SCHOOL,MANPASHA,DAKSHIN MANPASHA,1716848440,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101656,MALEKENNESA GIRLS HIGH SCHOOL,Nowpara,GUATON,1714933918,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101658,MOZAFFOR SMIRITEE SECONDARY SCHOOL . SARENCGAL,SARENGAL,SARENGAL,1712617452,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101659,BAIDARAPUR SECONDARY SCHOOL,BAIDARPUR,GABKHAN,1724544932,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101661,SUGANDHIA GIRLS HIGH SCHOOL,SUGANDHIA,SUGANDHIA,1715195179,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101662,NABAGRAM NADER ALI JUNIOR GIRLS SCHOOL,KHADAIKHIRA,NABAGRAM,1715267520,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101663,TIGER SECONDARY SCHOOL KRISHNAKATI,"KRISHNAKATI, 06 NO ,BASANDA",AGARBARI,1816626166,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101664,MANPASHA GIRLS SECONDARY SCHOOL,South Manpasha,South Manpasha,1716032609,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101665,SHAWRAKATI NABA ADARSHA GIRLS HIGH SCHOOL,SHAWRAKATI,RAMCHANDRAPUR,1718532334,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101667,AFSAR MEMORIAL HIGH SCHOOL,RAJAPUR,PONABALIA,1721809343,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101668,BESHAIN KHAN SAHID SHRITEE SECENDARY SCHOOL,BESHAINKHAN,BESHAINKHAN,1309101668,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101670,DIBAKARKATI  HIGH SCHOOL,DIBAKARKATI,CHACHOIR,1712190100,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101671,KAMLIKANDER NABIN CH. SECENDARY GIRLS SCHOOL,"5-NO, KIRTIPASA",KIRTIPASHA,1714552290,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101673,NAIKATI SECONDARY SCHOOL,NAIKATI,KEORA,1715422936,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101674,JEBUNNESA SECONDARY GIRLS HIGH SCHOOL,MAKRAMPUR,NABAGRAM,1309101674,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101675,BEGUM CHANBARU MEMORIAL HIGH SCHOOL,DHARAKHANA,DARKHI,17129090527,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101676,HIMANANDAKATI HIGH SCHOOL,HIMANANDAKATI,DOGOLCHIRA,1718272500,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101678,"SULTAN HOSSEN KHAN SECONDARY SCHOOL, MIRAKATHI",MIRAKATHI,BOWKATI,1309101678,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101679,DHANSHIRI JR. SECONDARY SCHOOL,GABKHAN,GABKHAN,1716513027,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,101681,MURASHATA PILOT HIGH SCHOOL,MURASHATA,NABAGRAM,1309101681,PRIVATE,Yes
Jhalakathi,Jhalakathi Sadar,138769,SHISHU KALLYAN TECHNICAL TRAINING CENTER  6,PURATON COLLAGE ROAD,JHALOKATI,1723472420,PRIVATE,No
Jhalakathi,Jhalakathi Sadar,139017,COLLECTORATE SCHOOL JHALAKATHI,SILPOKALA ROAD JHALOKATI,JHALOKATI,1712794892,PRIVATE,No
Jhalakathi,Kathalia,101715,SABURENNESA GIRLS HIGH SCHOOL,TALGACHHIA,AWRABUNIA,1714572831,PRIVATE,Yes
Jhalakathi,Kathalia,101716,UTTAR BALTALA JUNIOR HIGH SCHOOL,BALTALA,WEST CHHITKI,1735137930,PRIVATE,Yes
Jhalakathi,Kathalia,101718,KATHALIA PILOT MODEL GOVT. HIGH SCHOOL,KATHALIA,KATHALIA,1718103197,PUBLIC,Yes
Jhalakathi,Kathalia,101719,AURABUNIA MODEL HIGH SCHOOL,AURABUNIA,AURABUNIA,1309101719,PRIVATE,Yes
Jhalakathi,Kathalia,101720,AMUA BANDAR AMIR MOLLA SECONDARY SCHOOL,AMUA,AMUA,1757125116,PRIVATE,Yes
Jhalakathi,Kathalia,101721,PASHCHIM CHHITKI SECONDARY GIRLS SCHOOL,PASHCHIM CHHITKI,PASCHIM CHHITKI,1770379375,PRIVATE,Yes
Jhalakathi,Kathalia,101722,KACHUA SECONDARY SCHOOL,KACHUA,KACHUA,1716340918,PRIVATE,Yes
Jhalakathi,Kathalia,101724,SHOULJALIA SECONDARY SCHOOL,SHOULJALIA,SHOULJALIA,1718805767,PRIVATE,Yes
Jhalakathi,Kathalia,101725,CHHENCHRI RAMPUR M L HIGH SCHOOL,UTTAR CHHENCHRI,KOIKHALI BAZAR,1793494031,PRIVATE,Yes
Jhalakathi,Kathalia,101726,CHINGRAKHALI HIGH SCHOOL,CHINGRA KHALI,CHINGRA KHALI,1778518608,PRIVATE,Yes
Jhalakathi,Kathalia,101727,BALTALA HIGH SCHOOL,BALTALA,DOGNA HAT,1721333714,PRIVATE,Yes
Jhalakathi,Kathalia,101729,K.B.K. HIGH SCHOOL,KAIKHALI,BINA PANI,1724022366,PRIVATE,Yes
Jhalakathi,Kathalia,101730,ABDUS SOMED SECONDARY HIGH SCHOOL,TALGACHIA,AROWABUNIA,1721808933,PRIVATE,Yes
Jhalakathi,Kathalia,101731,MARICH BUNIA SECONDARY SCHOOL,MARICHBUNIA,NUTUN HAT,1715848777,PRIVATE,Yes
Jhalakathi,Kathalia,101733,NEAMATPUR GIRLS HIGH SCHOOL,NEAMATPURA,NUTUN HAT,1714572830,PRIVATE,Yes
Jhalakathi,Kathalia,101734,TARABUNIA HIGH SCHOOL,TARABUNIA,PATHAKHALI GHATA,1721800482,PRIVATE,Yes
Jhalakathi,Kathalia,101735,AMUA CHALITABUNIA GIRLS HIGH SCHOOL,SONAUTA,AMUA,1736390149,PRIVATE,Yes
Jhalakathi,Kathalia,101736,CHENCHRI PAMPUR GIRLS HIGH SCHOOL,WEST CHENCHRI,KOIKHALI BAZAR,1710178465,PRIVATE,Yes
Jhalakathi,Kathalia,101737,SONARBANGLA SECONDARY SCHOOL,RAGHUAR CHAR,TAL GACHIA,1760648671,PRIVATE,Yes
Jhalakathi,Kathalia,101738,BASHBUNIA SECONDARY SCHOOL,BANSHBUNIA,TALTALA BAZAR,1725173602,PRIVATE,Yes
Jhalakathi,Kathalia,101739,GOSHER HAT HIGH SCHOOL,SONAUTA, SANAUTA MADRASHA,1710672263,PRIVATE,Yes
Jhalakathi,Kathalia,101740,ALHAZ K.H.M SECONDARY SCHOOL,SOUTH KAIKHALI,BINA PANI,1719274846,PRIVATE,Yes
Jhalakathi,Kathalia,101741,ZANGALIA JUNIOR GIRLS SCHOOL,ZANGALIA,AOWARABUNIA,1746666173,PRIVATE,Yes
Jhalakathi,Kathalia,101742,NORTH CHHITKEE GIRLS HIGH SCHOOL,UTTAR CHITKY,WEST CHHITKY,1716401883,PRIVATE,Yes
Jhalakathi,Kathalia,101743,NORTH CHARAIL JUNIOR GIRLS SCHOOL,NORTH CHARAIL,UTTAR CHARAIL,1727758230,PRIVATE,Yes
Jhalakathi,Kathalia,101744,PURBA PATIKHAL GHATA M.UDDIN SECONDARY SCHOOL,PATIKHAL GHATA,NUTAN HAT,1716454769,PRIVATE,Yes
