DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Moulvibazar,Barlekha,129528,ITAURI HAZI YOUNUS MIAH MEMORIAL HIGH SCHOOL,ITAURI,DOULATPUR BAZAR,1309129528,PRIVATE,Yes
Moulvibazar,Barlekha,129529,DAKSHIN BHAG N.C.M. HIGH SCHOOL,DAKSHINBHAG BAZAR,DAKSHIN BHAG,1712487470,PRIVATE,Yes
Moulvibazar,Barlekha,129530,DASHER BAZAR HIGH SCHOOL,DASHER BAZAR,DASHER BAZAR,1716563063,PRIVATE,Yes
Moulvibazar,Barlekha,129531,SIDDIQUE ALI HIGH SCHOOL,SUJANAGAR,SUJANAGAR,1726358915,PRIVATE,Yes
Moulvibazar,Barlekha,129533,EIDGAH BAZAR GIRLS HIGH SCHOOL,SURIKANDI,GOALTA BAZAR,1717446775,PRIVATE,Yes
Moulvibazar,Barlekha,129534,HAKALUKI HIGH SCHOOL,MURSHIBAD KURA,HAKALUKI,1713807766,PRIVATE,Yes
Moulvibazar,Barlekha,129535,DAKSHIN BHAG JNIOR GIRLS SCHOOL,DAKSHIN BHAG,DAKSHINBHAG,1304040239,PRIVATE,No
Moulvibazar,Barlekha,129536,CHOTOLEKHA  HIGH SCHOOL,GRAMTALA,BARLEKHA,1719896334,PRIVATE,Yes
Moulvibazar,Barlekha,129537,KESRIGUL  HIGH SCHOOL,KESRIGUL,KESRIGUL,1717281292,PRIVATE,Yes
Moulvibazar,Barlekha,129538,SUNATULA HIGH SCHOOL,SUNATULA,BARALEKHA,1814277348,PRIVATE,No
Moulvibazar,Barlekha,129539,GANGKUL PANCHAGRAM ADARSHA HIGH SCHOOL,GANGKUL,DAKSHINBHAG,1718240101,PRIVATE,Yes
Moulvibazar,Barlekha,129541,UNITED HIGH SCHOOL,CHULARKURI,HAKALUKI,1778841084,PRIVATE,Yes
Moulvibazar,Barlekha,129542,GOLLASHANGON  HIGH SCHOOL,GOLLASHANGON,GOLLASHANGON,1818202137,PRIVATE,Yes
Moulvibazar,Barlekha,129543,NARI SHIKKA ACADEMY SECONDARY SCHOOL,PANIDHAR ,BARALEKHA,1772425289,PRIVATE,Yes
Moulvibazar,Barlekha,129545,BORNI ADARSAHA HIGH SCHOOL,BORNI,GUDAM BAZAR,1728189012,PRIVATE,Yes
Moulvibazar,Barlekha,129547,TEKA HALI HIGH SCHOOL,TEKAHALI,BARLEKHA PURAN BAZAR,1724235469,PRIVATE,Yes
Moulvibazar,Barlekha,129548,MAIJGRAM  HIGH SCHOOL,MAIJGRAM,DASHER BAZAR,1309129548,PRIVATE,Yes
Moulvibazar,Barlekha,129549,PAKSHAIL IDEAL HIGH SCHOOL,PAKSHAIL,PAKSHAIL,1309129549,PRIVATE,Yes
Moulvibazar,Barlekha,129550,KALAJURA HAJI APTAB MIAH MEMORIAL HIGH SCHOOL,KALAJURA,DAKSHINBHAGH,1816668826,PRIVATE,Yes
Moulvibazar,Barlekha,129552,KATHAL TALI HIGH SCHOOL,KATHALTALI,KATHAL TALI,1748550005,PRIVATE,Yes
Moulvibazar,Barlekha,129553,BARLEKHA GIRLS HIGH SCHOOL,MOHOBONDHO/911,BARLEKHA,1309129553,PRIVATE,Yes
Moulvibazar,Barlekha,129554,RUKEYA KHATUN  LYCEUM  SCHOOL,MOHOBAND,BARALEKHA,1842441972,PRIVATE,No
Moulvibazar,Barlekha,129555,PATHARIA CHHOTOLEKHA GOVT. MODEL HIGH SCHOOL,MAHUBAND (PART),BARALAKHA,1711910903,PUBLIC,Yes
Moulvibazar,Barlekha,129556,FAKIRA BAZAR HIGH SCHOOL,FORINGA,BORNI,1309129556,PRIVATE,Yes
Moulvibazar,Barlekha,129557,MURAUL HIGH SCHOOL,MURAUL,MURAUL,1725661323,PRIVATE,Yes
Moulvibazar,Barlekha,129558,TALIMPUR BAHARPUR HIGH SCHOOL,TALIMPUR,TALIMPUR,1309129558,PRIVATE,Yes
Moulvibazar,Barlekha,129559,CHANDGRAM HIGH SCHOOL,CHANDGRAM,CHANDGRAM,1719764243,PRIVATE,Yes
Moulvibazar,Barlekha,129561,SUJAUL JUNIOR HIGH SCHOOL,SUJAUL - SHAHBAJPUR,SUJAUL MADRASAH,1309129561,PRIVATE,Yes
Moulvibazar,Barlekha,129562,POYLOWAN   BARI  HIGH SCHOOL,MAMUDNAGAR,BARLEKHA,1715397722,PRIVATE,Yes
Moulvibazar,Barlekha,129563,KANSHI HAKALUKI GIRLS HIGH SCHOOL,BARA MOYDHAN,HAKALUKI,1717794903,PRIVATE,Yes
Moulvibazar,Barlekha,129564,POSCHIM BORNI A.B. JUNIOR HIGH SCHOOL,BARHAL,GODHAM BAZAR,1781888996,PRIVATE,Yes
Moulvibazar,Barlekha,131127,SHAHBAZPUR ADARSHA GIRLS HIGH SCHOOL,SHAIPUR,EAST- SHAHBAZPUR,1811588194,PRIVATE,Yes
Moulvibazar,Barlekha,131139,HAZI SHAMSUL HAQUE ADARSHA HIGH SCHOOL,TERAKURI-BAGERKUNA,SUJANAGAR,1751511584,PRIVATE,Yes
