DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Narail,Kalia,118345,PHANCHO POLLY  HIGH SCHOOL,MOHAMMADPUR,KALIA,1714599762,PRIVATE,Yes
Narail,Kalia,118346,KHAMAR  PARO KHALI BL.HIGH SCHOOL,KHAMAR,PAROKHALI,1936803238,PRIVATE,Yes
Narail,Kalia,118347,SHAHBAG UNITED ACADEMY,KALAMONKHALI,NOAGRAM,1924323948,PRIVATE,Yes
Narail,Kalia,118348,SHAHID EKLASHUDDIN AHMED SECONDARY SCHOOL,KULSUR,KULSUR,1911363770,PRIVATE,Yes
Narail,Kalia,118349,CHANCHURI PURULIA SECONDARY SCHOOL,PURULIA,CHANCHURI PURULIA,1713906119,PRIVATE,Yes
Narail,Kalia,118350,KALIA MODEL PILOT GOVT. SECONDARY SCHOOL,KALIA,KALIA,1725189167,PUBLIC,Yes
Narail,Kalia,118351,KALIA P S GIRLS HIGH SCHOOL,"RAMNAGAR,COLLAGE ROAD",KALIA,1717721078,PRIVATE,Yes
Narail,Kalia,118352,THE PATNA  ACADEMY,PATNA,PATNA,1725917745,PRIVATE,Yes
Narail,Kalia,118353,KALABARIA HIGH SCHOOL,KALABARIA,KALABARIA,1719059726,PRIVATE,Yes
Narail,Kalia,118354,BAWSHONA KAMSHIA SECONDARY SCHOOL,BAWSHONA,BAWSHONA,1714597951,PRIVATE,Yes
Narail,Kalia,118355,C.M.B.UNION SECONDARY SCHOOL  BAGUDANGA,BAGUDANGA,MULASREE,1712626344,PRIVATE,Yes
Narail,Kalia,118356,KHARARIA A.G.M.HIGH SCHOOL,KHARARIA,KHARARIA,1779176510,PRIVATE,Yes
Narail,Kalia,118357,ADARSHA  SAMMILANI U. BIDDYAPITH,KHASIAL,KHASIAL,1718180507,PRIVATE,Yes
Narail,Kalia,118358,FAZEL AHMED SCONDARY SCHOOL,PEROLY,PERULI BAZAR,1717669231,PRIVATE,Yes
Narail,Kalia,118359,MAHAJAN GASHIBARYA SECONDARY SCHOOL,MAHAJAN,MAHAJAN,1309118359,PRIVATE,Yes
Narail,Kalia,118360, J.A  CHOWDHURY HIGH  SCHOOL,DEBDUN,JOYGRAM,1729681818,PRIVATE,Yes
Narail,Kalia,118361,JOGANIA D.N. HIGH SCHOOL,JOGANIA,JOGANIA  ,1717417132,PRIVATE,Yes
Narail,Kalia,118362,NEW MODEL ACADEMY,PADMABILA GOURIPUR,A BALARDARNA,1725038270,PRIVATE,Yes
Narail,Kalia,118363,SHIEKH FAZILATUNESA  MUJIB GIRLS HIGH SCHOOL,KHASIAL,BORDIA,1737090979,PRIVATE,Yes
Narail,Kalia,118364,PALLI MANGAL SECONDARY SCHOOL,ARAZY BASGRAM,BONGRAM,1755055318,PRIVATE,Yes
Narail,Kalia,118365,RAGUNATHPUR   GIRLS HIGH SCHOOL,RAGUNATHPUR,SINGASOLPUR,1714502792,PRIVATE,Yes
Narail,Kalia,118366,DATTA SECONDARY SCHOOL,SHUKTAGRAM,SUKTAGRAM,1779888619,PRIVATE,Yes
Narail,Kalia,118367,J.M.P. ALTAF MOLLA SECONDARY SCHOOL,JAMRILDANGA,JAMRILDANGA,1725754112,PRIVATE,Yes
Narail,Kalia,118368,KHARARIA  SECONDARY  GIRLS SCHOOL,KHARARIA,KHARARIA,1727792908,PRIVATE,Yes
Narail,Kalia,118369,NOWGRAM JR. SECONDARY  SCHOOL,NOWGRAM,NOWAGRAM,1718091643,PRIVATE,No
Narail,Kalia,118370,PANCHOGRAM JUNIOR HIGH SCHOOL,CHANDER CHAR,SHUKROGRAM,1683586171,PRIVATE,Yes
Narail,Kalia,130774,BISHNUPUR HAMIDPUR HIGH SCHOOL,BISHNUPUR,MADHAB PASHA,1714960063,PRIVATE,Yes
Narail,Kalia,131105,MODHUMATI  ADARSHA BIDDALOY,SHARASPUR,PAHARDANGA,1718798433,PRIVATE,Yes
Narail,Kalia,136470,MAULI PANCHAPOLLY HIGH SCHOOL,MAULI,MAULI,1309136470,PRIVATE,No
Narail,Kalia,137713,PACHGRAM OSMAN GONI  SECONDARY SCHOOL,MOHISKHOLA,JAMRILDANGA,1735036939,PRIVATE,No
Narail,Kalia,138893,JAYNAL ABEDIN NURUNNAHAR JUNIOR GIRLS SCHOOL,PEROLY STAN,PEROLY STAN,1309138893,PRIVATE,No
Narail,Lohagara,118388,AMDANGA ADHARSHA SECONDRY SCHOOL,AMDANGA,ARIARA,1723826806,PRIVATE,Yes
Narail,Lohagara,118389,K T M HIGH SCHOOL,KUMRI,KUMRI,1309118389,PRIVATE,Yes
Narail,Lohagara,118390,LOHAGARA GOVT.  PILOT HIGH SCHOOL,LOHAGARA,LOHAGARA,1711396583,PUBLIC,No
Narail,Lohagara,118391,NALIDI B.S.S. INSTITUTION,BAIKUNTHAPUR,NALDI,1309118391,PRIVATE,Yes
