DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Nilphamari,Dimla ,124754,DIMLA GOVT. GIRLS HIGH SCHOOL,DAKSHIN TIT PARA,DIMLA,1309124754,PUBLIC,No
Nilphamari,Dimla ,124755,DIMLA RANI BRINDA RANI GOVERNMENT HIGH SCHOOL,DIMLA,DIMLA,1750266811,PUBLIC,No
Nilphamari,Dimla ,124756,KHAGA BAROBARI GIRLS BL. HIGH SCHOOL,BANDARKHARABARI,KHAGA KHARIBARI,1719165416,PRIVATE,Yes
Nilphamari,Dimla ,124757,NAUTARA ABIUNNESSA BL HIGH SCHOOL,NAUTARA,NAUTARA,1729876149,PRIVATE,Yes
Nilphamari,Dimla ,124758,JHUNAGACH CHAPANI B.L. HIGH SCHOOL,DAKSHIN JHUNAGACH CHAPANI,KAKRA BAZAR,1741032435,PRIVATE,Yes
Nilphamari,Dimla ,124759,SONAKHULI HAZI JAHARATULLAH HIGH SCHOOL,DAKSHIN  SONAKHULI,CHAPANI HAT,1727318088,PRIVATE,Yes
Nilphamari,Dimla ,124760,KHAGA KHARIBARI B.L. HIGH SCHOOL, BONDOR  KHARIBARI,KHAGABARI,1714565423,PRIVATE,Yes
Nilphamari,Dimla ,124761,AKASHKURI HIGH SCHOOL,AKASHKURI,NAUTARA,1718039760,PRIVATE,Yes
Nilphamari,Dimla ,124762,JATUA KHATA BL. HIGH SCHOOL,9NO TEPAKHARIBARI,TEPAKHARIBARI,1718729948,PRIVATE,Yes
Nilphamari,Dimla ,124763,CHHATNAI HIGH SCHOOL,THAKURGANJ,DARAJGONJ,1726636886,PRIVATE,Yes
Nilphamari,Dimla ,124764,CHHATNAI COLONY MULTILARAL HIGH SCHOOL,PURBA CHHATNAITNAI,CHHATNAI,1720264088,PRIVATE,Yes
Nilphamari,Dimla ,124765,SATJAN HIGH SCHOOL,NAOTARA,KAKRA BAZAR,1725449331,PRIVATE,Yes
Nilphamari,Dimla ,124767,MASTERPARA GIRLS HIGH SCHOOL,DAKHIN JHUNAGACHH CHAPANI,KAKRA BAZAR,1717292580,PRIVATE,Yes
Nilphamari,Dimla ,124768,DAILA BI-LATERA HIGH SCHOOL,DALIA,DALIA,1722947440,PRIVATE,Yes
Nilphamari,Dimla ,124769,DALIA SHISHU NIKATON HIGH SCHOOL,DALIA,DALIA,1726217936,PRIVATE,Yes
Nilphamari,Dimla ,124772,PURBA CHHATNAI ADARSHA GIRLS SCHOOL,PURBA CHHATNAI,CHHATNAI,1309124772,PRIVATE,Yes
Nilphamari,Dimla ,124773,GAYA KHARI BARI ADARSA B/L GIRLS HIGH SCOOL,GAYA BARI,GAYA BARI,1774880420,PRIVATE,Yes
Nilphamari,Dimla ,124774,DALIA CHAPANI HIGH SCHOOL,DALIA,CHAPANI HAT,1721031307,PRIVATE,Yes
Nilphamari,Dimla ,124775,DIMLA  ADARSHA HIGH SCHOOL,DIMLA  NILPHAMARI,DIMLA,1713720572,PRIVATE,Yes
Nilphamari,Dimla ,124776,KALIGANJ HIGH SCHOOL,KALIGANJ,DARAJ GANJ,1723313831,PRIVATE,Yes
Nilphamari,Dimla ,124777,AKATA JUNIOR SECONDARY GIRLS SCHOOL,DOHALPARA,KHOGA KHARIBARI,1717816996,PRIVATE,Yes
Nilphamari,Dimla ,124779,UTTAR JHUNAGACH CHAPANI GIRLS HIGH SCHOOL,UTTAR JHUNAGACH CHAPANI,CHAPANIR HAT,1715577050,PRIVATE,Yes
Nilphamari,Dimla ,124780,SHALHATI B.L. HIGH SCHOOL,SHALHATI,SHALHATI,1712363514,PRIVATE,Yes
Nilphamari,Dimla ,124781,DIMLA HIGH SCHOOL,DAKSHIN TITPARA,DIMLA,1712340578,PRIVATE,Yes
Nilphamari,Dimla ,124782,DAKSIN KAKRA SAIFUN SIDE JUNIOR HIGH SCHOOL,DAKSIN KAKRA,KAKRA BAZAR,1729430400,PRIVATE,Yes
Nilphamari,Dimla ,124783,TAPAKHARI BARI HIGH SCHOOL,PURBA KHARIBARY,TEPA KHARIBARI,1714558041,PRIVATE,Yes
Nilphamari,Dimla ,124784,DIMLA TITPARA ADARSHA HIGH SCHOOL ,UTAR TITPARA,DIMLA,1722302774,PRIVATE,Yes
Nilphamari,Dimla ,124785,SONAKHULI CHAPANI SAYKET JUNIOR SCHOOL,UTTAR JHUNAGA CHAPANI,CHAPANI HAT,1727824038,PRIVATE,Yes
Nilphamari,Dimla ,124786,PASCHIM KHARIBARI HIGH SCHOOL,PASCHIM KHARIBARI,GAYA BARI,1716344133,PRIVATE,Yes
Nilphamari,Dimla ,124788,PASCHIM CHHATNAI SUNRISE JUNIOR GIRLS SCHOOL,THAKUR GONJ,DARAJGONJ,1740612131,PRIVATE,No
Nilphamari,Dimla ,124789,PASCHIM CHHATNAI GIRLS HIGH SCHOOL,MODDHO CHHATNAI,DARAJGANJ,1714863129,PRIVATE,Yes
Nilphamari,Dimla ,124790,BALAPARANEWMODELGIRLSHIGHSCHOOL,CHHANTAI BALAPARA,DANGAR HAT,1746094748,PRIVATE,Yes
Nilphamari,Dimla ,124791,"ADARSHA  GIRLS HIGH SCHOOL,DIMLA",DALIA,DALIA,1713735017,PRIVATE,Yes
Nilphamari,Dimla ,124793,NAUTARABREZER PAR HIGH SCHOOL,GOYABARY,GAYABARI,1740105808,PRIVATE,Yes
Nilphamari,Dimla ,124794,ADARSHA JUNIOR SCHOOL,AKASHKURI,NAUTARA,1743583726,PRIVATE,No
Nilphamari,Dimla ,124795,POSCHIM KHARIBARI ACHIA KHATUN GIRLS SCHOOL,PASCHIM KHARIBARI,GAYABARI,1308124795,PRIVATE,No
Nilphamari,Dimla ,124796,UTTAR NAWTARA BL HIGH SCHOOL,CHHATNAI/07,CHHATNAI,1724122964,PRIVATE,Yes
Nilphamari,Dimla ,124797,MODERAN JUNIOR HIGH SCHOOL,DAKSHIN GAYABARI,GOYABARI,1736360519,PRIVATE,No
Nilphamari,Dimla ,124798,PACHARHAT JUNIOR HIGH SCHOOL,PACHAR HAT,DIMPA,1732030963,PRIVATE,No
Nilphamari,Dimla ,124917,BALAPARA HIGH SCHOOL,CHHATNAI BALA PARA,DANGAR HAT,1718733279,PRIVATE,Yes
Nilphamari,Dimla ,134769,SHEIKH FAJILATUNNESA MUJIB JUNIOR GIRLS SCHOOL,DAKHIN TITPARA,DIMLA,1765237194,PRIVATE,No
Nilphamari,Dimla ,134770,DIMLA NIJPARA HIGH SCHOOL,DIMLA,DIMLA,1712420060,PRIVATE,No
Nilphamari,Dimla ,136812,D.K. SOMNITA DANGAPARA JUNIOR SCHOOL,UTTARTITPARA,DIMLA,1718514275,PRIVATE,No
Nilphamari,Dimla ,136813,DILRUBA MAHIKUL SHIKSHA NIKETON JUNIOR SCHOOL,BABURHAT,DIMLA,1719371533,PRIVATE,No
Nilphamari,Dimla ,137347,PASCHIM CHHATNAI GOVT. PRIMARY SCHOOL,THAKURGANJ,DARAJGANJ,1728679140,GOVERNMENT PRIMARY,No
Nilphamari,Dimla ,137721,BAISHPUKUR JUNIOR SECONDARY SCHOOL,BAISHPUKUR,DALIA,1723992674,PRIVATE,No
