DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Rangamati,Baghaichari,107667,KACHALONG MODEL GOVT. HIGH SCHOOL,MODEL TOWN,MARISHYA,1556708723,PUBLIC,Yes
Rangamati,Baghaichari,107668,SHIJAK MUKH HIGH SCHOOL,SHIJAK MUKH,DURCHHARI,1556777292,PRIVATE,Yes
Rangamati,Baghaichari,107669,RUPALI HIGH SCHOOL,MOGBAN,MARISHYA,1553146058,PRIVATE,Yes
Rangamati,Baghaichari,107670,BAGHAICHHARI HIGH SCHOOL,BAGHAICHHARI,MARISHYA,1552692448,PRIVATE,Yes
Rangamati,Baghaichari,107671,KHEDAR MARA HIGH SCHOOL,"KHEDAR MARA , HOLDING NO-G32",DURCHHARI,1828870611,PRIVATE,Yes
Rangamati,Baghaichari,107672,ULUCHHARI MOUZA HIGH SCHOOL,ULUCHHARI,DURCHHARI,1553684548,PRIVATE,Yes
Rangamati,Baghaichari,107673,B T HIGH SCHOOL,BANGALTALY-C-BLOCK,MARISHYA,1553141649,PRIVATE,Yes
Rangamati,Baghaichari,107674,SAROATALI HIGH SCHOOL,SAROATALI,DURCHHARI,1828880533,PRIVATE,Yes
Rangamati,Baghaichari,107675,AMTALI HIGH SCHOOL,AMTALI,PABLAKHALI,1871963415,PRIVATE,Yes
Rangamati,Baghaichari,107676,TULABAN HIGH SCHOOL,R-43/g,MARISHYA,1556775821,PRIVATE,Yes
Rangamati,Baghaichari,107677,BAGHAI HAT HIGH SCHOOL,"SAJEK, 4 NO",BAGHAIHAT,1553143041,PRIVATE,Yes
Rangamati,Baghaichari,107678,KACHALONG GIRLS HIGH SCHOOL,UPAZILLA SADAR,MARISHYA,1552710629,PRIVATE,Yes
Rangamati,Baghaichari,107679,DAKSHIN RUPAKARI HIGH SCHOOL,        BARADOM /  50/G,MARISHYA,1553750347,PRIVATE,Yes
Rangamati,Baghaichari,107680,UGAL CHHARI HIGH SCHOOL,UGAL CHARI,MARISHYA,1552289993,PRIVATE,Yes
Rangamati,Baghaichari,107682,MEDINIPUR  HIGH SCHOOL,MEDINIPUR,DURCHHARI,1557194697,PRIVATE,No
Rangamati,Baghaichari,107683,BATTALI JUNIOR HIGH SCOOL,BATTALI,MARISHA,1846389710,PRIVATE,No
Rangamati,Baghaichari,134191,MAHILLA  HIGH SCHOOL,MAHILLA,PABLAKHALI,1820352979,PRIVATE,No
Rangamati,Baghaichari,136949,MACHALANG JUNIOR HIGH SCHOOL,MILANPARA,BAGHAIHAT,1820736182,PRIVATE,No
Rangamati,Baghaichari,138876,SAJEK GANGARAM JUNIOR SCHOOL,KAROLLACHARI,BAGHAIHAT,1516195592,PRIVATE,No
Rangamati,Baghaichari,138878,SHIJAK DAJAR BAZAR JUNIOR SCHOOL,DAJAR PARA,MARISHYA,1554606948,PRIVATE,No
Rangamati,Barkal,107687,BARKAL  GOVT. MODEL HIGH SCHOOL,BARKAL,BARKAL,1552371769,PUBLIC,Yes
Rangamati,Barkal,107688,BIL CHARA HIGH SCHOOL,BIL CHARA,SUBOLONG,1556432827,PRIVATE,Yes
Rangamati,Barkal,107689,SUBALNG HIGH SCHOOL,à¦®à¦¿à¦¤à¦¿à¦™à§à¦—à¦¾à¦›à§œà¦¿,SUBALONG,1556778424,PRIVATE,Yes
Rangamati,Barkal,107690,BARUNA CHARI HIGH SCHOOL,BARUNACHARI,SUBLONG,1552506541,PRIVATE,Yes
Rangamati,Barkal,107691,HAZA CHARA HIGH SCHOOL,HAZA CHARA,SUBLANG,1817646797,PRIVATE,Yes
Rangamati,Barkal,107693,BARA HARINA JUNIOR HIGH SCHOOL,SHUKNACHORI,BARKAL,1556651501,PRIVATE,Yes
Rangamati,Barkal,107694,BORUNACHARI ZONE JR HIGH SCHOOL,BORUNACHARI,SUBALONG,1556553452,PRIVATE,Yes
Rangamati,Barkal,107695,THEGA KHUBBANG  HIGH SCHOOL,KHUBBANG,BARKAL,1830521220,PRIVATE,Yes
Rangamati,Barkal,107697,JUNO PAHAR HIGH SCHOOL,DONUBAGH,BHUSANCHARA,1828802193,PRIVATE,Yes
Rangamati,Barkal,107699,ANDER MANIK (MAICH CHARI )JUNIOR HIGH SCHOOL,MAICH CHARI,SHUBLONG,1557210298,PRIVATE,No
Rangamati,Barkal,137556,ARABUNIA GOVT. PRIMARY SCHOOL,ARABUNIA,BHUSHAN CHHARA,1815082178,GOVERNMENT PRIMARY,No
Rangamati,Barkal,137817,BAMER MAHALCHARI GOVT. PRIMARY SCHOOL,DOKANGHAT,BARKAL,1557200204,GOVERNMENT PRIMARY,No
Rangamati,Kawkhali,107700,DABUA BARIKHA BHANU PUR HIGH SCHOOL,DABUA HEADMAN PARA,BETBUNIA,1819170260,PRIVATE,Yes
Rangamati,Kawkhali,107701,POWAPARA GOVT. MODEL HIGH SCHOOL,POWAPARA ,KALAMPATI,1827129126,PUBLIC,No
Rangamati,Kawkhali,107702,GHAGRA HIGH SCHOOL,GHAGRA,GHAGRA,1552606321,PRIVATE,Yes
Rangamati,Kawkhali,107703,BETBUNIA HIGH SCHOOL,BETBUNIA,BETBUNIA,1817785717,PRIVATE,Yes
Rangamati,Kawkhali,107704,UTTAR MUBACHRI JUNIOR HIGH SCHOOL,PORAPARA,KALAMPATI,1552485370,PRIVATE,No
Rangamati,Kawkhali,107705,HARANGI PARA HIGH SCHOOL,LEVA PARA,GHAGRA,1857655002,PRIVATE,Yes
Rangamati,Kawkhali,107706,PANCHARI HIGH SCHOOL,PANCHARI,KALAMPUTI,1837835928,PRIVATE,Yes
Rangamati,Kawkhali,107707,KAWKHALI GIRLS HIGH SCHOOL,KAWKHALI SADAR,KALAMPATI,1816129820,PRIVATE,Yes
Rangamati,Kawkhali,107708,NAILLACHARI HIGH SCHOOL,NAILACARI,KALAMPATI,1826989320,PRIVATE,No
Rangamati,Kawkhali,107709,KHASKALI HIGH SCHOOL,MONAIPARA,BETBUNIA,1821909636,PRIVATE,No
Rangamati,Kawkhali,107710,TALUKDERPARA JU SCHOOL,TALUKDERPARA,KALAMPATI,1820351065,PRIVATE,Yes
Rangamati,Kawkhali,107711,GHAGRA GIRLS  HIGH SCHOOL,DEWAN PARA,GHAGRA,1818284585,PRIVATE,Yes
Rangamati,Kawkhali,107712,TARABONIA JU HIGH SCHOOL,TARABUNIA,BETBUNIA ,1830554690,PRIVATE,No
Rangamati,Kawkhali,137554,PURBA SHIAL BUKKA GOVT. PRIMARY SCHOOL,PURAN BOSTI,BETBUNIA,1554718828,GOVERNMENT PRIMARY,No
Rangamati,Kawkhali,137886,BARMACHARI BAZAR GOVT. PRIMARY SCHOOL,BARMACHARI MUKH,KHIRAM,1552606482,GOVERNMENT PRIMARY,No
Rangamati,Belaichari,107718,BELAI CHARI GOVT. HIGH SCHOOL,BELAICHARI,BELAICHARI,1817720502,PUBLIC,Yes
Rangamati,Belaichari,107719,KANGRACHARI JUNIOR HIGH SCHOOL,KANGRACHARI,BELAICHARI,1558948432,PRIVATE,No
Rangamati,Belaichari,107720,FARUA HIGH SCHOOL,GHOAINCHARI,BELAICHARI,1552867750,PRIVATE,Yes
Rangamati,Belaichari,137553,DUPSHIL GOVT. PRIMARY SCHOOL,DUPSHIL,BELAICHHARI,1556707091,GOVERNMENT PRIMARY,No
Rangamati,Kaptai,107722,K.R.C. HIGH SCHOOL,BARAGHONIA,CHANDRAGHONA,1823707783,PRIVATE,No
Rangamati,Kaptai,107723,KAPTAI BIDYUT UNNAYAN BOARD MADHYMIK SCHOOL,KAPTAI PROJECT,KAPTAI PROJECT,1554216787,PRIVATE,No
Rangamati,Kaptai,107724,NARANGIRI GOVT. HIGH SCHOOL,NARANGIRI,CHANDRAGHONA,1817712601,PUBLIC,No
Rangamati,Kaptai,107725,PAHARIKA HIGH SCHOOL,CHANDROGHONA,CHANDRAGHONA,1818737785,PRIVATE,Yes
Rangamati,Kaptai,107726,CHITMOROM HIGH SCHOOL,CHITMOROM,SHIL CHARI,1827367098,PRIVATE,Yes
