DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Coxs Bazar,Chakaria,106168,KISHALAYA ADARSHA SHIKSHA NIKETAN,KHUTAKHALI,KHUTAKHALI,1720657620,PRIVATE,Yes
Coxs Bazar,Chakaria,106169,CHAKARIA GOVT. HIGH SCHOOL,CHIRINGA,CHIRINGA,1991950507,PUBLIC,No
Coxs Bazar,Chakaria,106170,CHAKARIA GOVT GIRLS HIGH SCHOOL,CHIRINGA,CHIRINGA,1554356279,PUBLIC,No
Coxs Bazar,Chakaria,106171,DHEMOSHIA JINNOT ALI CHOWDHURY HIGH SCHOOL,Dhemoshia,Dhemoshia,1823693050,PRIVATE,Yes
Coxs Bazar,Chakaria,106172,BADARKHALI COLONIZATION HIGH SCHOOL,BADARKHALI,BADARKHALI,1860588235,PRIVATE,Yes
Coxs Bazar,Chakaria,106173,HARBANG UNION HIGH SCHOOL,HARBANG,HARBANG,1722108266,PRIVATE,Yes
Coxs Bazar,Chakaria,106174,DULAHAZARA MULTILATERAL HIGH SCHOOL,DULAHAZARA,DULAHAZARA,1884251668,PRIVATE,Yes
Coxs Bazar,Chakaria,106175,ILISHIA JAMILA BEGUM HIGH SCHOOL,ILISHIA K.B JALAL UDDIN ROAD,MUKBULABAD,1717269956,PRIVATE,Yes
Coxs Bazar,Chakaria,106176,KAIYERBIL HIGH SCHOOL,KAIYERBIL,KAIYERBIL,1309106176,PRIVATE,Yes
Coxs Bazar,Chakaria,106177,SHAH UMARABAD MULTILATERAL HIGH SCHOOL,S.M.CHAR,CHAKARIA,1740625100,PRIVATE,Yes
Coxs Bazar,Chakaria,106178,MANIKPUR HIGH SCHOOL,MANIK PUR,MANIKPUR,1715674289,PRIVATE,Yes
Coxs Bazar,Chakaria,106179,PAHAR CHANDA HIGH SCHOOL,PAHAR CHANDA,PAHAR CHANDA,1819532600,PRIVATE,Yes
Coxs Bazar,Chakaria,106180,KHUTAKHALI  HIGH SCHOOL,KHAUTA KHALI,KHUTA KHALI,1819847240,PRIVATE,Yes
Coxs Bazar,Chakaria,106181,KAKARA MADHAMICK BIDHALAYA,KAKARA,CHAKARIA,1878381433,PRIVATE,Yes
Coxs Bazar,Chakaria,106182,BHEOLA MANIKCHAR HIGH SCHOOL,BHEOLA MANKIKCHAR,BHEOLA MANIK CHAR,1814331065,PRIVATE,Yes
Coxs Bazar,Chakaria,106183,DARBESHKATA HIGH SCHOOL,DARBESHKATA,MAKBULABAD,1817401076,PRIVATE,Yes
Coxs Bazar,Chakaria,106184,BARAITALI HIGH SCHOOL,BARAITALI,BARAITALI,1991954210,PRIVATE,Yes
Coxs Bazar,Chakaria,106185,PALAKATA HIGH SCHOOL,PALAKATA,CHIRINGA C.C,1726229901,PRIVATE,Yes
Coxs Bazar,Chakaria,106186,CHAKARIA CENTRAL HIGH SCHOOL,152,CHIRINGA C C,1309106186,PRIVATE,Yes
Coxs Bazar,Chakaria,106187,MEMORIAL CRISTIAN HIGH SCHOOL,MALUMGHAT,MALUMGHAT,1715146635,PRIVATE,Yes
Coxs Bazar,Chakaria,106188,KONAKHALI KARIMEA HIGH SCHOOL,POSCHIM KONAKHALI,DEMUSHIA,1871285333,PRIVATE,Yes
Coxs Bazar,Chakaria,106189,DIGAR PAN KHALI HIGH SCHOOL,DIGAR PANKKHALI,FASHIAKHALI,1726155882,PRIVATE,Yes
Coxs Bazar,Chakaria,106190,B.M.S. HIGH SCHOOL,SAHARBIL,SHAHARBIL,1818774307,PRIVATE,Yes
Coxs Bazar,Chakaria,106191,PURBA BARA BHEOLA G.N.A. MISSIONARY HIGH SCHOOL,PURBA BARA BHEOLA,AHASANIA MISSION,1716956594,PRIVATE,Yes
Coxs Bazar,Chakaria,106192,BAHADDERKATA HIGH SCHOOL,BAHADDER KATA ,B.M.CHAR,1819332065,PRIVATE,Yes
Coxs Bazar,Chakaria,106193,AL AZHER HIGH SCHOOL,BADAR KHALI,BADARKHALI,1814926747,PRIVATE,Yes
Coxs Bazar,Chakaria,106194,SHAKYAWMUNI HIGH SCHOOL,HARBANG,HARBANG,1553764130,PRIVATE,Yes
Coxs Bazar,Chakaria,106195,CHAKARIA KORAK BIDDYA PITH,CHIRINGA,CHIRINGA CC,1817777630,PRIVATE,Yes
